state size: 2
action size: 2
/content/Reinforcement-Learning-Pytorch-Cartpole/POMDP/0-DQN/model.py:19: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  nn.init.xavier_uniform(m.weight)
5200 episode | score: 18.08 | epsilon: 0.45
5210 episode | score: 18.15 | epsilon: 0.45
5220 episode | score: 18.23 | epsilon: 0.45
5230 episode | score: 17.88 | epsilon: 0.45
5240 episode | score: 17.72 | epsilon: 0.45
5250 episode | score: 17.44 | epsilon: 0.44
5260 episode | score: 17.62 | epsilon: 0.44
5270 episode | score: 17.84 | epsilon: 0.44
5280 episode | score: 17.93 | epsilon: 0.44
5290 episode | score: 18.17 | epsilon: 0.44
5300 episode | score: 18.46 | epsilon: 0.44
5310 episode | score: 19.65 | epsilon: 0.44
5320 episode | score: 19.53 | epsilon: 0.44
5330 episode | score: 19.43 | epsilon: 0.44
5340 episode | score: 19.34 | epsilon: 0.44
5350 episode | score: 19.11 | epsilon: 0.43
5360 episode | score: 18.88 | epsilon: 0.43
5370 episode | score: 18.34 | epsilon: 0.43
5380 episode | score: 17.89 | epsilon: 0.43
5390 episode | score: 17.55 | epsilon: 0.43
5400 episode | score: 17.21 | epsilon: 0.43
5410 episode | score: 17.11 | epsilon: 0.43
5420 episode | score: 17.14 | epsilon: 0.43
5430 episode | score: 16.99 | epsilon: 0.43
5440 episode | score: 17.33 | epsilon: 0.43
5450 episode | score: 17.78 | epsilon: 0.43
5460 episode | score: 18.08 | epsilon: 0.42
5470 episode | score: 18.71 | epsilon: 0.42
5480 episode | score: 19.91 | epsilon: 0.42
5490 episode | score: 20.54 | epsilon: 0.42
5500 episode | score: 20.39 | epsilon: 0.42
5510 episode | score: 20.56 | epsilon: 0.42
5520 episode | score: 20.27 | epsilon: 0.42
5530 episode | score: 19.85 | epsilon: 0.42
5540 episode | score: 19.65 | epsilon: 0.42
5550 episode | score: 19.73 | epsilon: 0.41
5560 episode | score: 20.05 | epsilon: 0.41
5570 episode | score: 20.59 | epsilon: 0.41
5580 episode | score: 20.85 | epsilon: 0.41
5590 episode | score: 21.15 | epsilon: 0.41
5600 episode | score: 20.96 | epsilon: 0.41
5610 episode | score: 21.10 | epsilon: 0.41
