state size: 2
action size: 2
/content/Reinforcement-Learning-Pytorch-Cartpole/POMDP/1-DRQN/model.py:20: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  nn.init.xavier_uniform(m.weight)
3060 episode | score: 25.70 | epsilon: 0.10
3070 episode | score: 28.58 | epsilon: 0.10
3080 episode | score: 31.80 | epsilon: 0.10
3090 episode | score: 33.38 | epsilon: 0.10
3100 episode | score: 36.32 | epsilon: 0.10
3110 episode | score: 39.47 | epsilon: 0.10
3120 episode | score: 41.16 | epsilon: 0.10
3130 episode | score: 43.65 | epsilon: 0.10
3140 episode | score: 45.72 | epsilon: 0.10
3150 episode | score: 47.74 | epsilon: 0.10
3160 episode | score: 47.60 | epsilon: 0.10
3170 episode | score: 45.80 | epsilon: 0.10
3180 episode | score: 44.68 | epsilon: 0.10
3190 episode | score: 42.59 | epsilon: 0.10
3200 episode | score: 40.92 | epsilon: 0.10
3210 episode | score: 39.12 | epsilon: 0.10
3220 episode | score: 37.09 | epsilon: 0.10
3230 episode | score: 35.77 | epsilon: 0.10
3240 episode | score: 37.27 | epsilon: 0.10
3250 episode | score: 37.10 | epsilon: 0.10
3260 episode | score: 35.18 | epsilon: 0.10
3270 episode | score: 33.42 | epsilon: 0.10
3280 episode | score: 31.86 | epsilon: 0.10
3290 episode | score: 31.46 | epsilon: 0.10
3300 episode | score: 31.46 | epsilon: 0.10
3310 episode | score: 30.96 | epsilon: 0.10
3320 episode | score: 30.29 | epsilon: 0.10
3330 episode | score: 29.56 | epsilon: 0.10
3340 episode | score: 28.49 | epsilon: 0.10
3350 episode | score: 28.17 | epsilon: 0.10
3360 episode | score: 27.73 | epsilon: 0.10
3370 episode | score: 26.89 | epsilon: 0.10
3380 episode | score: 25.88 | epsilon: 0.10
3390 episode | score: 25.83 | epsilon: 0.10
3400 episode | score: 25.51 | epsilon: 0.10
3410 episode | score: 25.55 | epsilon: 0.10
3420 episode | score: 25.06 | epsilon: 0.10
3430 episode | score: 24.48 | epsilon: 0.10
3440 episode | score: 24.46 | epsilon: 0.10
3450 episode | score: 24.04 | epsilon: 0.10
3460 episode | score: 23.88 | epsilon: 0.10
3470 episode | score: 23.87 | epsilon: 0.10
3480 episode | score: 23.98 | epsilon: 0.10
3490 episode | score: 24.31 | epsilon: 0.10
3500 episode | score: 24.51 | epsilon: 0.10
3510 episode | score: 24.15 | epsilon: 0.10
3520 episode | score: 24.44 | epsilon: 0.10
3530 episode | score: 24.83 | epsilon: 0.10
3540 episode | score: 24.85 | epsilon: 0.10
3550 episode | score: 24.14 | epsilon: 0.10
3560 episode | score: 23.69 | epsilon: 0.10
3570 episode | score: 23.56 | epsilon: 0.10
3580 episode | score: 23.19 | epsilon: 0.10
3590 episode | score: 22.66 | epsilon: 0.10
3600 episode | score: 22.33 | epsilon: 0.10
3610 episode | score: 22.00 | epsilon: 0.10
3620 episode | score: 21.52 | epsilon: 0.10
3630 episode | score: 20.88 | epsilon: 0.10
3640 episode | score: 20.28 | epsilon: 0.10
3650 episode | score: 19.81 | epsilon: 0.10
3660 episode | score: 19.28 | epsilon: 0.10
3670 episode | score: 18.44 | epsilon: 0.10
3680 episode | score: 17.77 | epsilon: 0.10
3690 episode | score: 17.16 | epsilon: 0.10
3700 episode | score: 16.58 | epsilon: 0.10
3710 episode | score: 15.91 | epsilon: 0.10
3720 episode | score: 15.28 | epsilon: 0.10
3730 episode | score: 14.75 | epsilon: 0.10
3740 episode | score: 14.25 | epsilon: 0.10
3750 episode | score: 14.15 | epsilon: 0.10
3760 episode | score: 13.84 | epsilon: 0.10
3770 episode | score: 13.91 | epsilon: 0.10
3780 episode | score: 14.12 | epsilon: 0.10
3790 episode | score: 14.22 | epsilon: 0.10
3800 episode | score: 14.23 | epsilon: 0.10
3810 episode | score: 14.30 | epsilon: 0.10
3820 episode | score: 14.28 | epsilon: 0.10
3830 episode | score: 14.22 | epsilon: 0.10
3840 episode | score: 14.00 | epsilon: 0.10
3850 episode | score: 13.91 | epsilon: 0.10
3860 episode | score: 13.88 | epsilon: 0.10
3870 episode | score: 13.70 | epsilon: 0.10
3880 episode | score: 13.57 | epsilon: 0.10
3890 episode | score: 13.53 | epsilon: 0.10
3900 episode | score: 13.42 | epsilon: 0.10
3910 episode | score: 13.47 | epsilon: 0.10
3920 episode | score: 13.22 | epsilon: 0.10
3930 episode | score: 13.29 | epsilon: 0.10
3940 episode | score: 13.57 | epsilon: 0.10
3950 episode | score: 13.53 | epsilon: 0.10
3960 episode | score: 13.83 | epsilon: 0.10
3970 episode | score: 14.13 | epsilon: 0.10
3980 episode | score: 14.46 | epsilon: 0.10
3990 episode | score: 14.92 | epsilon: 0.10
4000 episode | score: 15.51 | epsilon: 0.10
4010 episode | score: 16.05 | epsilon: 0.10
4020 episode | score: 16.40 | epsilon: 0.10
4030 episode | score: 16.94 | epsilon: 0.10
4040 episode | score: 17.19 | epsilon: 0.10
4050 episode | score: 17.41 | epsilon: 0.10
4060 episode | score: 17.68 | epsilon: 0.10
4070 episode | score: 17.87 | epsilon: 0.10
4080 episode | score: 17.98 | epsilon: 0.10
4090 episode | score: 17.98 | epsilon: 0.10
4100 episode | score: 18.49 | epsilon: 0.10
4110 episode | score: 18.78 | epsilon: 0.10
4120 episode | score: 19.21 | epsilon: 0.10
4130 episode | score: 19.24 | epsilon: 0.10
4140 episode | score: 19.10 | epsilon: 0.10
4150 episode | score: 18.77 | epsilon: 0.10
4160 episode | score: 18.98 | epsilon: 0.10
4170 episode | score: 18.35 | epsilon: 0.10
4180 episode | score: 18.19 | epsilon: 0.10
4190 episode | score: 17.76 | epsilon: 0.10
4200 episode | score: 17.96 | epsilon: 0.10
4210 episode | score: 18.10 | epsilon: 0.10
4220 episode | score: 18.14 | epsilon: 0.10
4230 episode | score: 18.72 | epsilon: 0.10
4240 episode | score: 18.86 | epsilon: 0.10
4250 episode | score: 18.85 | epsilon: 0.10
4260 episode | score: 18.94 | epsilon: 0.10
